Sentence,Sentiment,entities
Karppinen expects the consolidation trend to continue in the Finnish market .,neutral,"[('Karppinen', 'PERSON'), ('Finnish', 'NORP')]"
Metso estimates the need for personnel reductions to amount to 25 people .,neutral,"[('Metso', 'ORG'), ('25', 'CARDINAL')]"
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",negative,"[('Gundlach Slams iPad', 'PERSON'), ('425', 'MONEY')]"
AstraZeneca shares climb 3% as drug maker ups profits forecasts,positive,"[('AstraZeneca', 'ORG'), ('3%', 'PERCENT')]"
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,"[('26.9 %', 'PERCENT'), ('EUR 105.8', 'ORG'), ('83.4 ) million', 'MONEY')]"
The EPS improved to EUR0 .38 from EUR0 .27 .,positive,"[('EPS', 'ORG')]"
Insight hires Aviva's David Hillier for multi-asset team,positive,"[('Aviva', 'PRODUCT'), ('David Hillier', 'PERSON')]"
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,neutral,"[('Kapuli', 'GPE'), ('Mantsala', 'GPE'), ('the Hanko-Mantsala-Porvoo', 'GPE'), ('Lahti and Jarvenpaa', 'WORK_OF_ART')]"
"It grew in Finland , Norway , Denmark and the Baltic countries .",neutral,"[('Finland', 'GPE'), ('Norway', 'GPE'), ('Denmark', 'GPE'), ('Baltic', 'NORP')]"
Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,positive,"[('$MU $', 'MONEY'), ('$TWTR $', 'MONEY'), ('ZNGA', 'PERSON')]"
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral,"[('Proline Plus', 'PRODUCT'), ('0.1', 'CARDINAL'), ('10 ml', 'QUANTITY')]"
The final outcome of the rights offering is to be reported around 23 October 2009 .,neutral,"[('around 23 October 2009', 'DATE')]"
Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,neutral,"[('Vaisala', 'ORG'), ('0.85', 'CARDINAL'), ('1.24', 'MONEY'), ('annual', 'DATE')]"
"Body The credit falls due February 24 , 2014 .",neutral,"[('February 24 , 2014', 'DATE')]"
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive,"[('SWKS', 'PERSON'), ('24.00+ before year end', 'DATE')]"
"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .",neutral,"[('Nokia', 'ORG'), ('Bochum', 'GPE'), ('Dusseldorf', 'ORG'), ('Munich', 'GPE'), ('Frankfurt', 'GPE'), ('246', 'CARDINAL')]"
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",neutral,[]
Copper market may get a 2003-style supply shock from Glencore closures,negative,"[('2003', 'DATE')]"
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,"[('the years 2009-2012', 'DATE'), ('Basware', 'NORP'), ('20 % -40 %', 'PERCENT'), ('10 %', 'PERCENT')]"
Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .,neutral,"[('Scanfil', 'NORP'), ('100 %', 'PERCENT'), ('Scanfil EMS Group', 'ORG')]"
"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive,"[('Dubai', 'GPE'), (""`` Comes with Music ''"", 'WORK_OF_ART')]"
"Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk .",neutral,"[('Finnish', 'NORP'), ('Componenta', 'GPE'), ('December 26 , 2006', 'DATE'), ('the Turkish Capital Markets Board', 'ORG'), ('Doktas Dokumculuk', 'PERSON')]"
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",positive,"[('some 20', 'CARDINAL'), ('2007', 'DATE'), ('OKO', 'ORG')]"
"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",positive,"[('Biohit', 'GPE'), ('VWR', 'ORG'), ('a number of years', 'DATE'), ('US', 'GPE'), ('Biohit', 'GPE'), ('one', 'CARDINAL'), ('VWR', 'ORG')]"
Finnlines said that the deal is part of its strategy to focus on its core businesses .,neutral,"[('Finnlines', 'ORG')]"
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",neutral,"[('Lesprom Network', 'PERSON')]"
$SPY Long 1/2 position 137.89,positive,"[('1/2', 'CARDINAL'), ('137.89', 'CARDINAL')]"
The total value of these two contracts is over EUR 21 million .,neutral,"[('two', 'CARDINAL'), ('EUR 21 million', 'LAW')]"
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive,"[('ADP News', 'ORG'), ('Finnish', 'NORP'), ('Poyry Oyj', 'PERSON'), ('today', 'DATE'), ('EUR 5.2 million', 'MONEY'), ('Venezuel', 'PERSON')]"
No service pricing details were disclosed .,neutral,[]
"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",negative,"[('2,700', 'CARDINAL'), ('Model X Vehicles', 'ORG'), ('Shares Volatile', 'ORG'), ('tech', 'PERSON')]"
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",neutral,"[('Vaahto', 'GPE'), ('Hollola', 'GPE'), ('Finland', 'GPE'), ('the first quarter of 2009', 'DATE')]"
$FB still a dog going much lower this week,negative,"[('this week', 'DATE')]"
The expanded plant is scheduled to be operational by the middle of October 2009 .,neutral,"[('the middle of October 2009', 'DATE')]"
"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .",positive,"[('July-September 2008', 'DATE'), ('YIT', 'ORG'), ('EUR', 'ORG'), ('970.8', 'CARDINAL'), ('EUR', 'ORG'), ('906.8', 'CARDINAL'), ('2007', 'DATE')]"
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",negative,"[('Finland', 'GPE'), (""OP-Pohjola 's"", 'ORG')]"
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral,"[('the Board of Directors', 'ORG'), ('five', 'CARDINAL'), ('the Board of Directors', 'ORG'), ('Lassi Noponen', 'PERSON'), ('the Board of Directors', 'ORG')]"
"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",negative,"[('TSLA', 'PERSON'), ('2,700', 'CARDINAL'), ('Model X', 'PRODUCT')]"
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive,"[('Finland', 'GPE'), ('Pohjola', 'ORG'), ('Finnish', 'NORP')]"
"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .",neutral,"[('Tikkurila', 'PERSON'), ('Kemira', 'ORG'), ('about 23 %', 'PERCENT'), ('Russian', 'NORP'), ('St. Petersburg', 'GPE'), ('TEX', 'ORG')]"
The Department Store Division reported an increase in sales of 4 per cent .,positive,"[('The Department Store Division', 'ORG'), ('4 per cent', 'MONEY')]"
"In the Baltic countries , Atria 's target is organic growth .",neutral,"[('Baltic', 'LOC'), ('Atria', 'GPE')]"
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,positive,"[('EUR', 'ORG'), ('EUR 23.2', 'ORG'), ('2006', 'DATE')]"
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral,"[('Group', 'ORG'), ('2008', 'DATE'), ('EUR 94 million', 'MONEY'), ('approximately 730', 'CARDINAL')]"
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,neutral,[]
$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,negative,"[('EA', 'ORG'), ('two', 'CARDINAL'), ('ZNGA', 'PERSON')]"
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,"[('the second quarter of 2010', 'DATE'), ('EUR2', 'ORG'), ('April-June 2009', 'DATE')]"
Otherwise the situation is under control .,neutral,[]
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,negative,"[('Q1', 'CARDINAL'), ('Cisco', 'GPE'), ('$JNPR $', 'MONEY')]"
"In beers , Olvi retained its market position .",neutral,"[('Olvi', 'PERSON')]"
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",negative,"[('Finland', 'GPE'), ('Forssa', 'ORG'), ('HK Ruokatalo', 'PERSON'), ('Atria', 'PERSON'), ('March 2008', 'DATE')]"
"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",neutral,"[('Benefon', 'ORG'), ('Twig', 'ORG'), ('20 September 2006', 'DATE')]"
"Exports accounted for 65.4 % of net sales , representing an all time record for the company .",positive,"[('65.4 %', 'PERCENT')]"
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive,"[('Nordic', 'NORP'), ('Nordea', 'ORG'), ('Sami Sarkamies', 'PERSON'), ('Nokia', 'ORG')]"
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",neutral,"[('2.779 million', 'CARDINAL'), ('Ragutis', 'ORG'), ('Estonia', 'GPE'), ('A. Le Coq', 'ORG')]"
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral,"[('China', 'GPE'), ('India', 'GPE')]"
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",positive,"[('Finnish', 'NORP'), ('Rautaruukki Oyj', 'PERSON'), ('Ruukki', 'GPE'), ('July 7 , 2008', 'DATE'), ('9.0 mln euro', 'MONEY'), ('$ 14.1 mln', 'MONEY'), ('Partihallsforbindelsen', 'ORG'), ('Gothenburg', 'GPE'), ('Sweden', 'GPE')]"
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",neutral,"[('EUR', 'ORG'), ('0.8', 'CARDINAL'), ('EUR', 'ORG'), ('1.1', 'CARDINAL'), ('2008', 'DATE')]"
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,"[('six-month', 'DATE'), ('2007', 'DATE')]"
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",neutral,"[('HELSINKI Thomson Financial - Shares', 'ORG'), ('Cargotec', 'ORG'), ('early afternoon', 'TIME'), ('April-June', 'DATE'), ('the three months', 'DATE')]"
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative,"[('GlaxoSmithKline', 'PERSON'), ('6', 'MONEY')]"
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral,"[('150', 'CARDINAL'), ('four-month', 'DATE')]"
"128,538 shares can still be subscribed for with Series E share options , max .",neutral,"[('128,538', 'CARDINAL'), ('max', 'PERSON')]"
"Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .",neutral,"[('NASDAQ', 'ORG'), ('OMX Helsinki', 'PRODUCT'), ('Comptel Dynamic OSS', 'ORG')]"
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,"[('nine-month', 'DATE'), ('EUR3', 'GPE'), ('EUR61', 'ORG'), ('2007', 'DATE')]"
Absolut Bank is exploring the possibility of further borrowing .,neutral,"[('Absolut Bank', 'ORG')]"
$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,positive,"[('NKE', 'ORG'), ('http://stks.co/r1j6c', 'ORG')]"
The value of the order is around EUR 100 million .,neutral,[]
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",positive,"[('Elisa', 'PERSON'), ('7 percent', 'PERCENT'), ('2007', 'DATE'), ('third', 'ORDINAL')]"
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",negative,"[('Q2 of 2009', 'DATE'), ('EUR', 'ORG'), ('13.6', 'CARDINAL'), ('EUR', 'ORG'), ('26.8', 'CARDINAL'), ('Q2 of 2008', 'DATE')]"
Berkshire Hathaway names Kara Raiguel to lead General Re unit,neutral,"[('Berkshire Hathaway', 'PERSON'), ('Kara Raiguel', 'PERSON')]"
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive,"[('SRV', 'ORG'), ('the summer of 2008', 'DATE')]"
"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",positive,"[('Olvi', 'PERSON'), ('94 percent', 'PERCENT'), ('Ragutis', 'GPE'), ('annual', 'DATE'), ('earlier this year', 'DATE'), ('Lithuanian', 'PERSON'), ('15.04 million', 'CARDINAL'), ('last year', 'DATE'), ('20.4 percent', 'PERCENT'), ('12.49 million', 'CARDINAL'), ('2004', 'DATE')]"
"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",neutral,"[('Kesko', 'PERSON'), ('Hilton', 'GPE'), ('Kalinisky', 'PERSON'), ('18,000-square metres', 'QUANTITY')]"
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,neutral,"[('45', 'CARDINAL')]"
The air traffic of Finland has been in stoppage since then .,neutral,"[('Finland', 'GPE')]"
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,"[('today', 'DATE')]"
Also the traditional grapevine carries a lot of weight .,neutral,[]
"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .",neutral,"[('Talvivaara', 'PERSON')]"
"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",neutral,"[('Rautakesko', 'PERSON'), ('Norway', 'GPE'), ('Russia', 'GPE'), ('July 2005', 'DATE'), ('August', 'DATE')]"
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,"[('Kapiteeli', 'GPE'), ('EUR', 'ORG'), ('1,259.7 million', 'CARDINAL')]"
The company says the measures are no longer needed .,neutral,[]
The reduction notice applied to 17 people .,neutral,"[('17', 'CARDINAL')]"
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",negative,"[('OMX Helsinki', 'ORG'), ('0.33', 'CARDINAL'), ('9,364.80', 'CARDINAL'), ('0.34', 'CARDINAL'), ('5,029.25', 'CARDINAL')]"
BM4 middle layer headbox will be equipped with a dilution control system .,neutral,[]
"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",positive,"[('Cencorp', 'ORG'), ('the last quarter', 'DATE'), ('EUR5 .0', 'ORG')]"
$FTI Breakout today after reporting earnings last night,positive,"[('today', 'DATE'), ('last night', 'TIME')]"
"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .",positive,"[('the fourth quarter of 2009', 'DATE'), ('Atria', 'PERSON'), ('1.2 million', 'CARDINAL'), ('EUR 5.9 million', 'MONEY'), ('EUR 340.4 million', 'MONEY'), ('EUR 361.1 million', 'ORG')]"
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",negative,"[('2005', 'DATE'), ('2004', 'DATE')]"
"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",positive,"[('Simdax', 'ORG'), ('more than 40', 'CARDINAL')]"
Relief for Lewis as Tesco sees sales grow for first time in a year,positive,"[('Tesco', 'ORG'), ('first', 'ORDINAL'), ('a year', 'DATE')]"
$TSPT  long 8.00,positive,"[('TSPT', 'PERSON'), ('8.00', 'CARDINAL')]"
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,neutral,"[('Ashley', 'PERSON')]"
Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .,neutral,"[('Honkarakenne Oyj', 'PERSON'), ('Finnish', 'NORP'), ('Kuitunen', 'PERSON'), ('the next three years', 'DATE')]"
The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,positive,"[('the first quarter of 2011', 'DATE')]"
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,neutral,"[('EUR 220 million', 'MONEY'), ('four-year', 'DATE')]"
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,neutral,"[('Ruukki Group', 'ORG'), ('EUR 4mn', 'PERSON')]"
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,"[('$FB Big Money Is', 'MONEY')]"
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,positive,"[('SCANIA Morgan Stanley', 'ORG'), ('Swedish', 'NORP'), ('Scania AB', 'ORG'), ('330', 'CARDINAL'), ('42.4', 'MONEY'), ('310', 'CARDINAL'), ('39.8', 'MONEY')]"
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",neutral,"[('2006', 'DATE'), ('TeliaSonera', 'ORG'), ('SEK 91', 'ORG'), ('32.266', 'CARDINAL'), ('19.28', 'CARDINAL')]"
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",positive,"[('EUR 151.0', 'ORG'), ('EUR', 'ORG'), ('143.7', 'CARDINAL'), ('2007', 'DATE'), ('a record year', 'DATE')]"
Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,neutral,"[('Tekla Structures', 'PERSON')]"
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral,"[('Finland', 'GPE'), ('Construction-Real Estate Target', 'ORG'), ('Pohjolan Design-Talo Oy Buyer', 'ORG'), ('Ruukki Group Oyj', 'ORG'), ('USD', 'ORG'), ('102.6', 'CARDINAL')]"
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .",neutral,"[('Finnish Suominen Corporation', 'ORG'), ('nonwovens', 'GPE'), ('Warsaw', 'GPE'), ('Poland', 'GPE')]"
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",neutral,"[('EUR', 'ORG'), ('EUR', 'ORG'), ('0.8', 'CARDINAL'), ('2006', 'DATE')]"
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",neutral,[]
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",neutral,"[('the three months through March 31', 'DATE'), ('103 million', 'CARDINAL'), ('US$ 165 million', 'MONEY'), ('131 million', 'CARDINAL'), ('a year earlier', 'DATE'), ('Finnish', 'NORP')]"
"Nokia OYJ 's production site at Bochum , Germany , posted profit before interest of 134 mln eur for 2007 , Capital reported in an excerpt of an article to be released tomorrow , citing internal documents .",neutral,"[(""Nokia OYJ 's"", 'ORG'), ('Bochum', 'GPE'), ('Germany', 'GPE'), ('134', 'CARDINAL'), ('2007', 'DATE'), ('Capital', 'GPE'), ('tomorrow', 'DATE')]"
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",negative,"[('Rapala VMC Corporation STOCK EXCHANGE', 'ORG'), ('October 10 , 2008', 'DATE'), ('11.45', 'CARDINAL'), ('Kaupthing Bank Oyj', 'ORG'), ('Kapthing', 'WORK_OF_ART'), ('Rapala VMC Corporation', 'ORG'), ('Rapala', 'PERSON')]"
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral,"[('EUR 145.1 million', 'MONEY'), ('2009', 'DATE'), ('EUR 8.9 million', 'MONEY')]"
$WYNN big bounce,positive,[]
"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .",neutral,"[('Polish', 'NORP'), ('about 1,000', 'CARDINAL'), ('about EUR 70mn', 'MONEY'), ('2007', 'DATE')]"
"Royal Mail, Johnson Matthey lead FTSE lower",negative,"[('Royal Mail', 'ORG'), ('Johnson Matthey', 'PERSON'), ('FTSE', 'ORG')]"
Morrisons faces festive sales test,negative,[]
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",positive,"[('Dirk Jones', 'ORG'), ('Financial Institutions Client Sales Management', 'ORG'), ('GTS', 'ORG'), ('Citigroup', 'ORG'), ('Citi', 'PERSON'), ('Pohjola Group Bank', 'ORG')]"
"FDA approves NPS drug, in move validating Shire takeover deal",positive,"[('FDA', 'ORG'), ('NPS', 'ORG'), ('Shire', 'PERSON')]"
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive,"[('20 October 2010', 'DATE'), ('Finnish', 'NORP'), ('Componenta Oyj HEL', 'ORG'), ('yesterday', 'DATE'), ('the first nine months of 2010', 'DATE'), ('EUR23', 'NORP'), ('the same period of', 'DATE'), ('2009', 'DATE')]"
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative,"[('today', 'DATE')]"
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive,"[('14 %', 'PERCENT'), ('EUR', 'ORG')]"
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",neutral,"[('Brazil', 'GPE'), ('Chile', 'GPE'), ('Argentina', 'GPE'), ('Mexico', 'GPE'), ('Brazil', 'GPE'), ('Mexico', 'GPE'), ('Ethernet', 'PERSON')]"
Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .,neutral,"[('Tikkurila', 'PERSON'), ('Russia', 'GPE')]"
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,negative,"[('TWTR', 'PERSON')]"
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",positive,"[('300', 'MONEY')]"
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",positive,"[('Amer Sports Corp.', 'ORG'), ('Atomic', 'ORG'), ('Salomon', 'ORG'), ('Wilson', 'ORG'), ('64 percent', 'PERCENT'), ('third-quarter', 'DATE'), ('47.4 million $ 65 million', 'MONEY')]"
$FB watching for bounce tomorrow,positive,"[('tomorrow', 'DATE')]"
"In addition , the company is considering the start of production in Russia .",neutral,"[('Russia', 'GPE')]"
NetCom expects to complete Turbo 3G deployment in these areas this year .,neutral,"[('NetCom', 'ORG'), ('Turbo 3G deployment', 'ORG'), ('this year', 'DATE')]"
J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,neutral,"[('J+ñrvi-Suomen Portti', 'ORG')]"
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",negative,"[('Matti Perkonoja', 'ORG'), ('HKScan', 'ORG'), ('the first quarter of 2010', 'DATE'), ('2009', 'DATE')]"
"The company will publish its financial statement for 2008 on February 25 , 2009 .",neutral,"[('2008', 'DATE'), ('February 25 , 2009', 'DATE')]"
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",neutral,"[('Finnish', 'NORP'), ('some euro300 million', 'CARDINAL'), ('US$ 380 million', 'MONEY')]"
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive,"[('SPY', 'ORG'), ('Wednesday', 'DATE'), ('Thursday', 'DATE')]"
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",negative,"[('Finnish', 'NORP'), ('Uponor', 'ORG'), ('9.4 %', 'PERCENT'), ('2008', 'DATE'), ('EUR', 'ORG'), ('EUR 1,047.4', 'PRODUCT'), ('2007', 'DATE')]"
"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share .",neutral,"[('YouTube', 'PRODUCT'), ('Ovi Share', 'ORG')]"
Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .,neutral,"[('Finnish', 'NORP'), ('Honkarakenne', 'PERSON'), ('Russian', 'NORP')]"
Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,neutral,"[('Christmas', 'DATE'), ('35', 'CARDINAL'), ('Victoria Beckham', 'PERSON'), ('75', 'CARDINAL'), ('Paris Hilton Prom', 'ORG')]"
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral,"[('Aspocomp Group', 'ORG')]"
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",neutral,"[('the quarter', 'DATE'), ('EUR510', 'ORG'), ('EUR860', 'GPE'), ('the third quarter 2007', 'DATE')]"
$RAD All my charts are flashing oversold.,neutral,"[('RAD', 'PERSON')]"
$FB gettin in the buy zone soon ;),positive,[]
The order was valued at over EUR15m .,neutral,[]
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",neutral,"[('Finnish', 'NORP'), ('BasWare Oyj', 'PERSON'), ('884,000 euro', 'MONEY'), ('$ 1.2 mln', 'MONEY'), ('the first quarter of 2007', 'DATE'), ('2.0 mln euro', 'QUANTITY'), ('$ 2.7 mln', 'MONEY'), ('a year earlier', 'DATE')]"
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,negative,"[('Windows 10', 'PRODUCT'), ('#', 'CARDINAL'), ('Microsoft', 'ORG')]"
